pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Brasil, 1974, C 146, 100, CRUZEIRO, MBC, PAPEL, 167X79MM, A09403 084305, FLORIANO PEIXOTO, CONGRESSO NACIONAL, 5
Brasil, 1975, C 131, 1, CRUZEIRO, FE, PAPEL, 147X67, B08715 0877546, EFIGIE DA REPUBLICA, CASA DA MOEDA DO BRASIL, 10
Brasil, 1979, C 136, 5, CRUZEIRO, RUIM, PAPEL, 149X69, B06127 037562, D PEDRO I, PRACA 15 RIO SECULO XVIII, 0
Brasil, 1979, C 154A, 1000, CRUZEIRO, MB, PAPEL, 152X72, *0003051099A, BARAO RIO BRANCO, 2 CARAS, 300
Brasil, 1980, C 132, 1, CRUZEIRO, B, PAPEL, 147X64, B15967 036389, EFIGIE DA REPUBLICA, CASA DA MOEDA DO BRASIL, 3
Brasil, 1981, C 147, 100, CRUZEIRO, MBC, PAPEL, 164X77, A11593 006882, FLORIANO PEIXOTO, CONGRESSO NACIONAL, 5
Brasil, 1981, C 156, 100, CRUZEIRO, FE, PAPEL, 154X74, A2967014951A, DUQUE DE CAXIAS, 2 CARAS, 15
Brasil, 1981, C 160, 500, CRUZEIRO, B, PAPEL, 154X74, A3317050964A, DEODORO DA FONSECA, 2 CARAS, 2
Brasil, 1981, C 162, 1000, CRUZEIRO, REPOR, PAPEL, 151X72, SERIE 3999054765B, BARAO DE RIO BRANCO, 2 CARAS, 0
Brasil, 1981, C 166, 5000, CRUZEIRO, B, PAPEL, 154X74, A1274043418A, CASTELO BRANCO, 2 CARAS, 5
Brasil, 1981, C 158, 200, CRUZEIRO, FE, PAPEL, 154X74, A2088039222A, PRINCESA ISABEL, 2 CARAS, 3
Brasil, 1983, C 167, 5000, CRUZEIRO, REPOR, PAPEL, 152X72, SERIE A9783050476A, CASTELO BRANCO, 2 CARAS, 2
Brasil, 1984, C 157, 100, CRUZEIRO, B, PAPEL, 154X74, SERIE A7639024945A, DUQUE DE CAXIAS, 2 CARAS, 15
Brasil, 1984, C 159, 200, CRUZEIRO, B, PAPEL, 154X74, A4512017189A, PRINCESA ISABEL, 2 CARAS, 3
Brasil, 1984, C 163, 1000, CRUZEIRO, REPOR, PAPEL, 151X72, A6835068434B, BARAO DE RIO BRANCO, 2 CARAS, 1
Brasil, 1984, C 172, 50000, CRUZEIRO, BOA, PAPEL, 154X74, SERIE A1234097686A, OSWALDO CRUZ, , 3
Brasil, 1984, C 168, 5000, CRUZEIRO, REPOR, PAPEL, 154X74MM, SERIE B1599065997A, CASTELLO BRANCO, HODRELETRICA E TELECOMINICACAO, 2
Brasil, 1984, C 170, 10000, CRUZEIRO, REPOR, PAPEL, 154X74MM, SERIE A250353248A, RUI BARBOSA, CONFERENCIA DA PAZ, 5
Brasil, 1985, C 161, 500, CRUZEIRO, MBC, PAPEL, 154X74, SERIE A3698007580A, DEODORO DA FONSECA, 2 CARAS, 4
Brasil, 1985, C 164, 1000, CRUZEIRO, MBC, PAPEL, 154X74, SERIE A9925045986A, BARAO RIO BRANCO, TAQUEOMETRO, 3
Brasil, 1985, C 173, 50000, CRUZEIRO, REPOR, PAPEL, 154X74, SERIE A2104028030A, OSWALDO CRUZ, INSTITUTO OSWALDO CRUZ, 0
Brasil, 1985, C 174, 50000, CRUZEIRO, B, PAPEL, 154X74, SERIE A2392081902A, OSWALDO CRUZ, INSTITUTO OSWALDO CRUZ, 1
Brasil, 1985, C 169, 5000, CRUZEIRO, REPOR, PAPEL, 154X74, B2125094647A, CASTELO BRANCO, HIDRELETRICA E TELECOMUNICACOES, 2
Brasil, 1986, C 176, 100000, CRUZEIRO, MB, PAPEL, 154X74, A3130095604A, JUSCELINO KUBITSCHEK, CONGRESSO NACIONAL, 10
Brasil, 1986, C 177, 10, CRUZADO, REPOR, PAPEL, 154X74, CARIMBADA EM 10000 CRUZEIRO A47060422501A, RUI BARBOSA, CONFERENCIA DA PAZ, 2
Brasil, 1986, C 179, 100, CRUZADO, FE, PAPEL, 154X74, A5904071567A, JUSCELINO KUBTSCHEK, SEGUNDA CONFERECENCIA DA PAZ, 8
