pais,ano,krause,valor,moeda,tipo,qualidade,material,diametro,detalhe,anverso,reverso,datacadastro; 
Angola,2012,107,50 CENTIMO,KWANZA,Moeda,MB,COBRE NICKEL,20.6MM,,BNA,,15 de jun de 2018; 
Angola,2014,UC 1,20,KWANZA,Moeda,MB,BI METALICA,28MM,,VALOR,RAINHA NJINGA A MIRANDA,15 de jun de 2018; 
Antilhas Holandesas,1974,9,2 CENT E Meio,GULDEN,Moeda,B,BRONZE,22MM,,,,15 de jun de 2018; 
Antilhas Holandesas,2001,32,1 CENT,GULDEN,Moeda,QFC,ALUMINIO,14MM,,,,15 de jun de 2018; 
Arabia Saudita,1987,64,50,HALALAS,Moeda,SOB,COBRE NICKEL,26MM,,VALOR,2 ESPADAS CRUZADAS E 1 COQUEIRO,15 de jun de 2018; 
Argentina,1891,33,2 CENTAVO,PESO,Moeda,,BRONZE,30MM,,,,15 de jun de 2018; 
Argentina,1924,35,10 CENTAVO,PESO,Moeda,UTG,COBRE NICKEL,19.3MM,CORTE PROXIMO C,VALOR,,15 de jun de 2018; 
Argentina,1930,34,5 CENTAVO,PESO,Moeda,UTG,COBRE NICKEL,17.3MM,,VALOR,,15 de jun de 2018; 
Argentina,1939,35,10 CENTAVO,PESO,Moeda,UTG,COBRE NIQUEL,19.3MM,,VALOR,,15 de jun de 2018; 
Argentina,1948,42,20 CENTAVO,PESO,Moeda,B,ALUMINIO BRONZE,21MM,,VALOR E VACA,FACE LATERAL MULHER,15 de jun de 2018; 
Argentina,1952,46,5 CENTAVO,PESO,Moeda,B,COBRE NICKEL,17MM,,BOA,JOSE MARTIN,15 de jun de 2018; 
Argentina,1953,46,5 CENTAVO,PESO,Moeda,B,COBRE NICKEL,17MM,,VALOR,JOSE DE SAN MARTIN ,15 de jun de 2018; 
Argentina,1954,51,10 CENTAVO,PESO,Moeda,B,ACO NICKEL,19MM,,VALOR,JOSE DE SAN MARTIN,15 de jun de 2018; 
Argentina,1954,50,5 CENTAVO,PESO,Moeda,B,ACO COBRE NICKEL,17MM,,VALOR,JOSE DE SAN MARTIN ,15 de jun de 2018; 
Argentina,1957,57,1,PESO,Moeda,B,ACO NICKEL,25.5MM,,,,15 de jun de 2018; 
Argentina,1958,55,20 CENTAVO,PESO,Moeda,B,ACO NICKEL,19.59MM,,,,15 de jun de 2018; 
Argentina,1962,60,10,PESO,Moeda,,NICKEL,23.6MM,,GAUCHO,LAUREL A ESQUERDA,15 de jun de 2018; 
Argentina,1963,60,10,PESO,Moeda,,NICKEL,23.6MM,,GAUCHO,LAUREL A ESQUERDA,15 de jun de 2018; 
Argentina,1971,66,10 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,16.5MM,,,,15 de jun de 2018; 
Argentina,1975,69,1,PESO,Moeda,,ALUMINIO BRONZE,22MM,,SOL RADIANTE,LAUREL A ESQUERDA,15 de jun de 2018; 
Argentina,1977,74,10,PESO,Moeda,,ALUMINIO BRONZE,25,2MM,COMEMORACAO BICENTENARIO,,15 de jun de 2018; 
Argentina,1977,72,10,PESO,Moeda,,ALUMINIO BRONZE,25,2MM,SOL,,15 de jun de 2018; 
Argentina,1978,85,100,PESO,Moeda,,ALUMINIO BRONZE,27.3MM,,,JOSE DE SAN MARTIN,15 de jun de 2018; 
Argentina,1979,85,100,PESO,Moeda,,ALUMINIO BRONZE,27.3MM,,,JOSE DE SAN MARTIN,15 de jun de 2018; 
Argentina,1987,99,50 CENTAVO,PESO,Moeda,,BRONZE,24.5MM,,,,15 de jun de 2018; 
Argentina,1992,110.1,25 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,24.4MM,,HALL DA CIDADE DE BUENOS AIRES,,15 de jun de 2018; 
Argentina,1992,107,10 CENTAVO,PESO,Moeda,B,ALUMINIO BRONZE,18.2MM,,,,15 de jun de 2018; 
Argentina,1994,111.1,50 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,25.2MM,,CAPITAL DA PROVINCIA DE TUCUMAN,,15 de jun de 2018; 
Argentina,1994,107,10 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,18.2MM,,LOGO EXERCITO ARGENTINO,,15 de jun de 2018; 
Argentina,2004,107,10 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,18.2MM,,LOGO EXERCITO ARGENTINO,,15 de jun de 2018; 
Argentina,2005,107,10 CENTAVO,PESO,Moeda,B,ALUMINIO BRONZE,18.2MM,,,,15 de jun de 2018; 
Argentina,2006,107,10 CENTAVO,PESO,Moeda,,ALUMINIO BRONZE,18.2MM,,LOGO EXERCITO ARGENTINO,,15 de jun de 2018; 
