pais, ano, krause, valor, moeda, qualidade, material, diametro, valor_venda
Brasil, 1997, KM# 633, 10, CENTAVOS,  , ACO INOXIDAVEL, 22MM, 1.48; 
Brasil, 1997, KM# 632, 5, CENTAVOS,  , ACO INOXIDAVEL, 21MM, 0.81; 
Brasil, 1997, KM# 631, 1, CENTAVO,  , ACO INOXIDAVEL, 20MM, 0.94; 
Brasil, 1998, KM# 651, 50, CENTAVOS,  , CUPRO-NIQUEL, 23MM, 2.97; 
Brasil, 1998, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.89; 
Brasil, 1998, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.48; 
Brasil, 1998, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.35; 
Brasil, 1998, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 1.95; 
Brasil, 1999, KM# 652, 1, REAL,  , BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE LATAO, 27MM, 10.78; 
Brasil, 1999, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.09; 
Brasil, 1999, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 5.73; 
Brasil, 1999, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 1.75; 
Brasil, 2000, KM# 651, 50, CENTAVOS,  , CUPRO-NIQUEL, 23MM, 4.58; 
Brasil, 2000, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.28; 
Brasil, 2000, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.42; 
Brasil, 2001, KM# 651, 50, CENTAVOS,  , CUPRO-NIQUEL, 23MM, 4.72; 
Brasil, 2001, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.02; 
Brasil, 2001, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.48; 
Brasil, 2001, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.69; 
Brasil, 2001, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 1.15; 
Brasil, 2002, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.56; 
Brasil, 2002, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.49; 
Brasil, 2002, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.74; 
Brasil, 2002, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.08; 
Brasil, 2002, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 1.15; 
Brasil, 2003, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 3.37; 
Brasil, 2003, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.02; 
Brasil, 2003, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.42; 
Brasil, 2003, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.42; 
Brasil, 2003, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 0.94; 
Brasil, 2003, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 1.01; 
Brasil, 2004, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 4.38; 
Brasil, 2004, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.55; 
Brasil, 2004, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.88; 
Brasil, 2004, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.08; 
Brasil, 2004, KM# 647, 1, CENTAVO,  , ACO COM REVESTIMENTO DE COBRE, 17MM, 2.16; 
Brasil, 2006, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.21; 
Brasil, 2006, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.69; 
Brasil, 2005, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.42; 
Brasil, 2005, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 0.81; 
Brasil, 2005, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.7; 
Brasil, 2005, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.21; 
Brasil, 2006, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 3.98; 
Brasil, 2006, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.48; 
Brasil, 2006, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.94; 
Brasil, 2007, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.01; 
Brasil, 2007, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.94; 
Brasil, 2007, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.89; 
Brasil, 2007, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.49; 
Brasil, 2007, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 4.52; 
Brasil, 2008, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 1.35; 
Brasil, 2008, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.95; 
Brasil, 2008, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.89; 
Brasil, 2008, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.48; 
Brasil, 2008, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 7.14; 
Brasil, 2009, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 1.35; 
Brasil, 2009, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.42; 
Brasil, 2009, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.42; 
Brasil, 2009, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.82; 
Brasil, 2009, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 4.25; 
Brasil, 2010, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 2.63; 
Brasil, 2010, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.48; 
Brasil, 2010, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.28; 
Brasil, 2010, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.15; 
Brasil, 2010, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 0.88; 
Brasil, 2011, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 2.9; 
Brasil, 2011, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.43; 
Brasil, 2011, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 2.16; 
Brasil, 2011, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.28; 
Brasil, 2011, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 0.74; 
Brasil, 2012, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 2.09; 
Brasil, 2012, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 4.04; 
Brasil, 2012, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.01; 
Brasil, 2012, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 0.74; 
Brasil, 2013, KM# 652A, 1, REAL,  , BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE, 27MM, 1.55; 
Brasil, 2013, KM# 651A, 50, CENTAVOS,  , ACO INOXIDAVEL, 23MM, 1.28; 
Brasil, 2013, KM# 650, 25, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 25MM, 1.42; 
Brasil, 2013, KM# 649.2, 10, CENTAVOS,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 1.21; 
Brasil, 2013, KM# 648, 5, CENTAVOS,  , ACO COM REVESTIMENTO DE COBRE, 21.9MM, 0.94; 
Bulgaria, 2000, KM# 237, 1, STOTINKA,  , ALUMINIO-BRONZE, 16MM, 2.43; 
Cabo verde, 1994, KM# 33, 20, ESCUDOS,  , ACO COM REVESTIMENTO DE NIQUEL, 25MM, 4.92; 
Canada, 1985, KM# 132, 1, CENTIMO,  , BRONZE, 19.1MM, 0.81; 
Canada, 2008, KM# 490A, 1, CENTIMO,  , ACO COM REVESTIMENTO DE COBRE, 19.05MM, 1.15; 
Canada, 1992, KM# 204, 1, CENTIMO,  , BRONZE, 19.1MM, 1.08; 
Canada, 1983, KM# 132, 1, CENTIMO,  , BRONZE, 19.1MM, 0.88; 
Canada, 1987, KM# 132, 1, CENTIMO,  , BRONZE, 19.1MM, 0.81; 
Canada, 2005, KM# 493, 25, CENTIMOS,  , ACO COM REVESTIMENTO DE NIQUEL, 23.88MM, 3.1; 
Canada, 1978, KM# 77, 10, CENTIMOS,  , NIQUEL, 18.03MM, 0.88; 
Canada, 1974, KM# 59, 1, CENTIMO,  , BRONZE, 19.05MM, 0.94; 
Canada, 1996, KM# 181, 1, CENTIMO,  , BRONZE, 19.1MM, 0.74; 
Canada, 2007, KM# 490A, 1, CENTIMO,  , ACO COM REVESTIMENTO DE COBRE, 19.05MM, 1.01; 
Cazaquistao, 1993, KM# 5A, 50, TIYN,  , ZINCO COM REVESTIMENTO DE COBRE, 25MM, 2.76; 
Cazaquistao, 1993, KM# 4A, 20, TIYN,  , ZINCO COM REVESTIMENTO DE COBRE, 21.87MM, 1.62; 
Cazaquistao, 1993, KM# 3A, 10, TIYN,  , ZINCO COM REVESTIMENTO DE COBRE, 19.56MM, 2.9; 
Cazaquistao, 1993, KM# 2A, 5, TIYN,  , ZINCO COM REVESTIMENTO DE COBRE, 17.27MM, 1.75; 
Cazaquistao, 1993, KM# 1A, 2, TIYN,  , ZINCO COM REVESTIMENTO DE COBRE, 17.27MM, 3.03; 
Tchecoslovaquia, 1984, KM# 89, 50, HELLERS,  , CUPRO-NIQUEL, 20.8MM, 1.15;
Chile, 2007, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.28; 
Chile, 1999, KM# 231, 1, PESO,  , ALUMINIO, 16MM, 1.55; 
Chile, 1958, KM# 181, 10, PESOS,  , ALUMINIO, 29MM, 4.52; 
Chile, 1998, KM# 219, 50, PESOS,  , ALUMINIO-BRONZE, 25MM, 2.29; 
Chile, 1992, KM# 231, 1, PESO,  , ALUMINIO, 16MM, 0.74; 
Chile, 1990, KM# 216, 1, PESO,  , ALUMINIO-BRONZE, 17MM, 2.09; 
Chile, 1972, KM# 197, 1, ESCUDO,  , CUPRO-NIQUEL, 18.9MM, 2.7; 
Chile, 1992, KM# 226, 100, PESOS,  , ALUMINIO-BRONZE, 26.8MM, 4.58; 
Chile, 1971, KM# 194, 10, CENTESIMOS,  , ALUMINIO-BRONZE, 18.1MM, 1.62; 
Chile, 2014, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, ; 
Chile, 2009, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.35; 
Chile, 2013, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 3.03; 
Chile, 2012, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 2.02; 
Chile, 1999, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.62; 
Chile, 1994, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.15; 
Chile, 1995, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.35; 
Chile, 2011, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.75; 
Chile, 1974, KM# 200, 10, ESCUDOS,  , ALUMINIO, 24.93MM, 9.64; 
Chile, 2008, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, 1.82; 
Chile, 2010, KM# 228, 10, PESOS,  , NIQUEL-LATAO, 21MM, ; 
China, 1991, KM# 1, 1, FEN,  , ALUMINIO, 18MM, 1.55; 
China, 2004, KM# 1411, 5, JIAO,  , NIQUEL COM REVESTIMENTO DE LATAO, 20.5MM, 1.55; 
China, 2006, KM# 1411, 5, JIAO,  , NIQUEL COM REVESTIMENTO DE LATAO, 20.5MM, 2.16; 
China, 1981, KM# 2, 2, FEN,  , ALUMINIO, 21MM, 0.94; 
China, 1979, KM# 1, 1, FEN,  , ALUMINIO, 18MM, 1.89; 
Chipre, 1996, KM# 53.3, 1, CENTIMO,  , NIQUEL-LATAO, 16.5MM, 1.01; 
Chipre, 1994, KM# 55.3, 5, CENTIMOS,  , NIQUEL-LATAO, 22MM, 1.89; 
Chipre, 1994, KM# 54.3, 2, CENTIMOS,  , NIQUEL-LATAO, 19MM, 1.42; 
Colombia, 2006, KM# 285, 100, PESOS,  , LATAO, 23MM, 2.9; 
Colombia, 2007, KM# 286, 500, PESOS,  , BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL, 23.5MM, 4.99; 
Colombia, 2016, KM# 297, 200, PESOS,  , COBRE-ZINCO-NIQUEL, 22.4MM, 3.1; 
Colombia, 2016, KM# 296, 100, PESOS,  , ACO COM REVESTIMENTO DE LATAO, 20.3MM, 2.43; 
Colombia, 1995, KM# 287, 200, PESOS,  , COBRE-ZINCO-NIQUEL, 24.4MM, ; 
Colombia, 1981, KM# 270, 10, PESOS,  , COBRE-ZINCO-NIQUEL, 28.1MM, 5.26; 
Colombia, 2010, KM# 285, 100, PESOS,  , LATAO, 23MM, 1.48; 
Coreia do sul, 1961, KM# 1, 10, HWAN,  , BRONZE, 19.1MM, 14.49; 
Coreia do sul, 1983, KM# 31, 1, WON,  , ALUMINIO, 17.2MM, 2.9; 
Croacia, 1993, KM# 11, 5, KUNAS,  , COBRE-ZINCO-NIQUEL, 26.5MM, 5.26; 
Croacia, 1995, KM# 6, 10, LIPA,  , ACO COM REVESTIMENTO DE LATAO, 20MM, 0.88; 
Croacia, 1993, KM# 4, 2, LIPA,  , ALUMINIO, 19MM, 2.43; 
Croacia, 1995, KM# 7, 20, LIPA,  , ACO COM REVESTIMENTO DE NIQUEL, 18.5MM, 1.69; 
Cuba, 1984, KM# 105, 1, PESO,  , LATAO, 24.5MM, 4.38; 
Cuba, 1989, KM# 415.3, 10, CENTAVOS,  , CUPRO-NIQUEL, 17.5MM, 3.91; 
Cuba, 1971, KM# 34, 5, CENTAVOS,  , ALUMINIO, 21.21MM, 1.89; 
Cuba, 1992, KM# 346A, 3, PESOS,  , ACO COM REVESTIMENTO DE NIQUEL, 26.5MM, 7.01; 
Dinamarca, 1980, KM# 860, 10, ORE,  , CUPRO-NIQUEL, 18MM, 1.15; 
Dinamarca, 1990, KM# 866, 50, ORE,  , BRONZE, 21.5MM, 1.95; 
Dinamarca, 1973, KM# 861, 25, ORE,  , CUPRO-NIQUEL, 23MM, 2.83; 
Egito, 1950, KM# 358, 1, MILESIMO,  , BRONZE, 22.8MM, 19.01; 
Egito, 1973, KM# 435, 10, MILESIMOS,  , LATAO, 21MM, 1.55; 
Egito, 1984, KM# 553, 1, PIASTRE,  , ALUMINIO-BRONZE, 18.1MM, 4.25; 
Emirados arabes unidos, 2005, KM# 6.2, 1, DIRHAM,  , CUPRO-NIQUEL, 24MM, 3.57; 
Emirados arabes unidos, 2014, KM# 6.2A, 1, DIRHAM,  , ACO COM REVESTIMENTO DE NIQUEL, 24MM, 1.82; 
Emirados arabes unidos, 2013, KM# 16A, 50, FILS,  , ACO COM REVESTIMENTO DE NIQUEL, 21MM, 1.42; 
Emirados arabes unidos, 2007, KM# 6.2, 1, DIRHAM,  , CUPRO-NIQUEL, 24MM, 2.09; 
Equador, 1991, KM# 92, 10, SUCRES,  , ACO COM REVESTIMENTO DE NIQUEL, 24MM, 4.52; 
Equador, 1988, KM# 89, 1, SUCRE,  , ACO COM REVESTIMENTO DE NIQUEL, 20MM, 3.03; 
Equador, 1991, KM# 94, 20, SUCRES,  , ACO COM REVESTIMENTO DE NIQUEL, 26MM, 5.66; 
Equador, 1946, KM# 75B, 5, CENTAVOS,  , CUPRO-NIQUEL, 17MM, 3.37; 
Eslovaquia, 2009, KM# 98, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Eslovenia , 1992, KM# 8, 20, STOTINOV,  , ALUMINIO, 18MM, 3.91; 
Eslovenia , 1993, KM# 3, 50, STOTINOV,  , ALUMINIO, 20MM, 3.37; 
Eslovenia , 1993, KM# 8, 20, STOTINOV,  , ALUMINIO, 18MM, 3.17; 
Eslovenia , 1992, KM# 7, 10, STOTINOV,  , ALUMINIO, 16MM, 2.56; 
Espanha, 1997, KM# 832, 1, PESETA,  , ALUMINIO, 14MM, 1.15; 
Espanha, 1983, KM# 824, 25, PESETAS,  , CUPRO-NIQUEL, 26.5MM, 2.36; 
Espanha, 1984, KM# 826, 100, PESETAS,  , ALUMINIO-BRONZE, 24.5MM, 7.82; 
Espanha, 1947, KM# 775, 1, PESETA,  , ALUMINIO-BRONZE, 21MM, 3.71; 
Espanha, 1966, KM# 796, 1, PESETA,  , ALUMINIO-BRONZE, 21MM, 1.35; 
Espanha, 1996, KM# 960, 5, PESETAS,  , ALUMINIO-BRONZE, 17.5MM, 2.36; 
Espanha, 2017, KM# 1146, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 2004, KM# 1043, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 1995, KM# 948, 25, PESETAS,  , ALUMINIO-BRONZE, 19.5MM, ; 
Espanha, 2016, KM# 1144, 1, CENTIMO DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 16.25MM, 0.2; 
Espanha, 2011, KM# 1146, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 1996, KM# 962, 25, PESETAS,  , ALUMINIO-BRONZE, 19.5MM, 3.37; 
Espanha, 1999, KM# 1046, 1, EURO,  , BIMETALICA: NUCLEO DE NIQUEL BANHADO A CUPRO-NIQUEL ANEL DE NIQUEL-LATAO, 23.25MM, 6.74; 
Espanha, 2003, KM# 1040, 1, CENTIMO DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 16.25MM, 0.2; 
Espanha, 2000, KM# 1043, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 2010, KM# 1146, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 1959, KM# 790, 10, CENTIMOS,  , ALUMINIO, 18MM, 1.69; 
Espanha, 2015, KM# 1144, 1, CENTIMO DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 16.25MM, 0.07; 
Espanha, 1966, KM# 795, 50, CENTIMOS,  , ALUMINIO, 20.1MM, 1.62; 
Espanha, 2007, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 1944, KM# 767, 1, PESETA,  , ALUMINIO-BRONZE, 21MM, 3.37; 
Espanha, 1992, KM# 833, 5, PESETAS,  , ALUMINIO-BRONZE, 17.5MM, 1.62; 
Espanha, 2008, KM# 1070, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 1999, KM# 1041, 2, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 18.75MM, 0.13; 
Espanha, 2009, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.4; 
Espanha, 2008, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 2007, KM# 1070, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 2006, KM# 1045, 50, CENTIMOS DE EURO,  , OURO NORDICO, 24.25MM, 3.37; 
Espanha, 2006, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 2005, KM# 1043, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 2005, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 2004, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 2003, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.4; 
Espanha, 2003, KM# 1043, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 2001, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 2000, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.34; 
Espanha, 1999, KM# 1043, 10, CENTIMOS DE EURO,  , OURO NORDICO, 19.75MM, 0.67; 
Espanha, 1999, KM# 1044, 20, CENTIMOS DE EURO,  , OURO NORDICO, 22.25MM, 1.35; 
Espanha, 1999, KM# 1042, 5, CENTIMOS DE EURO,  , ACO COM REVESTIMENTO DE COBRE, 21.25MM, 0.4; 
Espanha, 1997, KM# 981, 5, PESETAS,  , ALUMINIO-BRONZE, 17.5MM, 1.82; 
Espanha, 1991, KM# 851, 25, PESETAS,  , ALUMINIO-BRONZE, 19.5MM, 3.57; 
Espanha, 1983, KM# 827, 10, PESETAS,  , CUPRO-NIQUEL, 18.5MM, 1.69; 
Espanha, 1975, KM# 806, 1, PESETA,  , ALUMINIO-BRONZE, 21MM, 0.88; 
Espanha, 1980, KM# 816, 1, PESETA,  , ALUMINIO-BRONZE, 21MM, 1.21; 
Espanha, 1975, KM# 807, 5, PESETAS,  , CUPRO-NIQUEL, 23MM, 1.21; 
Espanha, 1966, KM# 796, 1, PESETA,  , ALUMINIO-BRONZE, 21MM, 1.21; 
Estados unidos da america, 1969, KM# 201, 1, CENTIMO,  , COBRE-ZINCO, 19MM, 1.01; 
Estados unidos da america, 1984, KM# A192, 5, CENTIMOS,  , CUPRO-NIQUEL, 21.21MM, 1.01; 
Estados unidos da america, 1999, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.67; 
Estados unidos da america, 1989, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.88; 
Estados unidos da america, 1987, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.81; 
Estados unidos da america, 1967, KM# 202A, 1/2, DOLAR,  , PRATA 0.400, 30.6MM, 32.55; 
Estados unidos da america, 2015, KM# 468, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 1.28; 
Estados unidos da america, 2014, KM# 381, 5, CENTIMOS,  , CUPRO-NIQUEL, 21.21MM, 1.28; 
Estados unidos da america, 1975, KM# 195A, 1, DIME,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 17.91MM, 1.28; 
Estados unidos da america, 2001, KM# 320, 1/4, DOLAR,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 24.26MM, 3.91; 
Estados unidos da america, 2000, KM# 307, 1/4, DOLAR,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 24.26MM, 3.64; 
Estados unidos da america, 1967, KM# 164A, 1/4, DOLAR,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 24.26MM, 2.22; 
Estados unidos da america, 2010, KM# 478, 1, DOLAR,  , COBRE COM REVESTIMENTO DE LATAO-MANGANES, 26.5MM, ; 
Estados unidos da america, 1993, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.81; 
Estados unidos da america, 2005, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.88; 
Estados unidos da america, 2007, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.74; 
Estados unidos da america, 2010, KM# 468, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 1.01; 
Estados unidos da america, 2015, KM# 468, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 1.48; 
Estados unidos da america, 2016, KM# 468, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.61; 
Estados unidos da america, 1994, KM# A192, 5, CENTIMOS,  , CUPRO-NIQUEL, 21.21MM, 1.01; 
Estados unidos da america, 2000, KM# A192, 5, CENTIMOS,  , CUPRO-NIQUEL, 21.21MM, 1.42; 
Estados unidos da america, 2002, KM# 333, 1/4, DOLAR,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 24.26MM, 4.04; 
Estados unidos da america, 2001, KM# 321, 1/4, DOLAR,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 24.26MM, 3.77; 
Estados unidos da america, 1967, KM# 201, 1, CENTIMO,  , COBRE-ZINCO, 19MM, 0.88; 
Estados unidos da america, 2006, KM# 201B, 1, CENTIMO,  , ZINCO COM REVESTIMENTO DE COBRE, 19.05MM, 0.74; 
Estados unidos da america, 1994, KM# 164A, 1/4, DOLAR,  , COBRE COM REVESTIMENTO DE CUPRO-NIQUEL, 24.26MM, 2.7; 
