                           PAIS   ANO           #         VALOR             MOEDA  QUALIDADE                                                                                    MATERIAL  DIAMETRO        VENDA
685   Estados unidos da america  2015     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       1.28; 
686   Estados unidos da america  2014     KM# 381             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.28; 
687   Estados unidos da america  1975    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.28; 
688   Estados unidos da america  2001     KM# 320           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       3.91; 
689   Estados unidos da america  2000     KM# 307           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       3.64; 
690   Estados unidos da america  1967    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.22; 
691   Estados unidos da america  2010     KM# 478             1             DOLAR                                                               COBRE COM REVESTIMENTO DE LATAO-MANGANES    26.5MM           ; 
692   Estados unidos da america  1993    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.81; 
693   Estados unidos da america  2005    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
694   Estados unidos da america  2007    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.74; 
695   Estados unidos da america  2010     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       1.01; 
696   Estados unidos da america  2015     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       1.48; 
697   Estados unidos da america  2016     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.61; 
698   Estados unidos da america  1994    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.01; 
699   Estados unidos da america  2000    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.42; 
700   Estados unidos da america  2002     KM# 333           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       4.04; 
701   Estados unidos da america  2001     KM# 321           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       3.77; 
702   Estados unidos da america  1967     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       0.88; 
703   Estados unidos da america  2006    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.74; 
704   Estados unidos da america  1994    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM        2.7; 
705   Estados unidos da america  1983    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.83; 
706   Estados unidos da america  1967    KM# 202A           1/2             DOLAR                                                                                            PRATA 0.400    30.6MM      32.55; 
707   Estados unidos da america  1966    KM# 202A           1/2             DOLAR                                                                                            PRATA 0.400    30.6MM      31.61; 
708   Estados unidos da america  1999     KM# 295           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       3.98; 
709   Estados unidos da america  1957    KM# A132             1           CENTIMO                                                                                                  LATAO   19.05MM       1.69; 
710   Estados unidos da america  2005     KM# 372           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
711   Estados unidos da america  2014     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.61; 
712   Estados unidos da america  1997    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.61; 
713   Estados unidos da america  1991    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.61; 
714   Estados unidos da america  1991    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.61; 
715   Estados unidos da america  1978     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       0.81; 
716   Estados unidos da america  2001     KM# 318           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       3.77; 
717   Estados unidos da america  2007     KM# 397           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       4.04; 
718   Estados unidos da america  2008     KM# 381             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.35; 
719   Estados unidos da america  2007     KM# 396           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
720   Estados unidos da america  2006     KM# 382           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       4.18; 
721   Estados unidos da america  2004     KM# 358           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       4.04; 
722   Estados unidos da america  1999     KM# 297           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
723   Estados unidos da america  2011     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.94; 
724   Estados unidos da america  2013     KM# 468             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.67; 
725   Estados unidos da america  2001    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.48; 
726   Estados unidos da america  2001    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
727   Estados unidos da america  2000     KM# 310             1             DOLAR                                                               COBRE COM REVESTIMENTO DE LATAO-MANGANES    26.5MM           ; 
728   Estados unidos da america  2000    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.81; 
729   Estados unidos da america  2000    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.01; 
730   Estados unidos da america  2000    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.48; 
731   Estados unidos da america  2000    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.81; 
732   Estados unidos da america  1999    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.94; 
733   Estados unidos da america  1998    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.09; 
734   Estados unidos da america  1997    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.54; 
735   Estados unidos da america  1996    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM        2.7; 
736   Estados unidos da america  1996    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.01; 
737   Estados unidos da america  1996    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.94; 
738   Estados unidos da america  1996    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
739   Estados unidos da america  1996    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
740   Estados unidos da america  1995    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.56; 
741   Estados unidos da america  1995    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.08; 
742   Estados unidos da america  1995    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.74; 
743   Estados unidos da america  1995    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
744   Estados unidos da america  1995    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
745   Estados unidos da america  1994    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.88; 
746   Estados unidos da america  1994    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.67; 
747   Estados unidos da america  1994    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.67; 
748   Estados unidos da america  1993    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.08; 
749   Estados unidos da america  1993    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       1.75; 
750   Estados unidos da america  1993    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.81; 
751   Estados unidos da america  1992    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.67; 
752   Estados unidos da america  1992    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.67; 
753   Estados unidos da america  1991    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.36; 
754   Estados unidos da america  1991    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.08; 
755   Estados unidos da america  1991    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.15; 
756   Estados unidos da america  1990    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.63; 
757   Estados unidos da america  1990    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       0.94; 
758   Estados unidos da america  1990    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       0.94; 
759   Estados unidos da america  1990    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.81; 
760   Estados unidos da america  1990    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.61; 
761   Estados unidos da america  1990    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM           ; 
762   Estados unidos da america  1989    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.74; 
763   Estados unidos da america  1988    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.81; 
764   Estados unidos da america  1987    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.82; 
765   Estados unidos da america  1987    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.21; 
766   Estados unidos da america  1987    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.81; 
767   Estados unidos da america  1986    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
768   Estados unidos da america  1986    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.88; 
769   Estados unidos da america  1985    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       1.69; 
770   Estados unidos da america  1985    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       0.94; 
771   Estados unidos da america  1985    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM           ; 
772   Estados unidos da america  1984    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
773   Estados unidos da america  1984    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM           ; 
774   Estados unidos da america  1984    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.01; 
775   Estados unidos da america  1983    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.83; 
776   Estados unidos da america  1983    KM# 201B             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE   19.05MM       0.81; 
777   Estados unidos da america  1982    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       2.16; 
778   Estados unidos da america  1982     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM           ; 
779   Estados unidos da america  1982     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       0.67; 
780   Estados unidos da america  1981    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM        3.1; 
781   Estados unidos da america  1981     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM           ; 
782   Estados unidos da america  1980    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.35; 
783   Estados unidos da america  1980    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       2.29; 
784   Estados unidos da america  1979    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.15; 
785   Estados unidos da america  1978     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       0.81; 
786   Estados unidos da america  1977    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
787   Estados unidos da america  1975    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       1.15; 
788   Estados unidos da america  1974    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
789   Estados unidos da america  1974    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM           ; 
790   Estados unidos da america  1973    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       2.16; 
791   Estados unidos da america  1973    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM           ; 
792   Estados unidos da america  1972     KM# 203             1             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL    38.1MM           ; 
793   Estados unidos da america  1972     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       0.88; 
794   Estados unidos da america  1972     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM           ; 
795   Estados unidos da america  1972    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM       1.28; 
796   Estados unidos da america  1970    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       3.24; 
797   Estados unidos da america  1968    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       2.09; 
798   Estados unidos da america  1967    KM# 195A             1              DIME                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   17.91MM       0.88; 
799   Estados unidos da america  1965    KM# 202A           1/2             DOLAR                                                                                            PRATA 0.400    30.6MM      38.69; 
800   Estados unidos da america  1965    KM# 164A           1/4             DOLAR                                                                 COBRE COM REVESTIMENTO DE CUPRO-NIQUEL   24.26MM       4.72; 
801   Estados unidos da america  1964     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       0.67; 
802   Estados unidos da america  1964    KM# A192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM           ; 
803   Estados unidos da america  1961     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM       1.55; 
804   Estados unidos da america  1960     KM# 201             1           CENTIMO                                                                                            COBRE-ZINCO      19MM           ; 
805   Estados unidos da america  1941     KM# 192             5          CENTIMOS                                                                                           CUPRO-NIQUEL   21.21MM           ; 
806                        Fiji  2001     KM# 49A             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE    17.5MM       2.16; 
807                   Filipinas  2003     KM# 269             1              PISO                                                                                           CUPRO-NIQUEL      24MM       2.56; 
808                   Finlandia  2001     KM# 100             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
809                   Finlandia  1979     KM# 44A             1             PENNI                                                                                               ALUMINIO   15.72MM       0.81; 
810                   Finlandia  1990      KM# 65            10            PENNIA                                                                                           CUPRO-NIQUEL    16.3MM       0.81; 
811                   Finlandia  1996      KM# 76             1            MARKKA                                                                                        ALUMINIO-BRONZE      22MM       1.48; 
812                   Finlandia  1999     KM# 101            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
813                   Finlandia  1963      KM# 46            10            PENNIA                                                                                        ALUMINIO-BRONZE      20MM       1.35; 
814                   Finlandia  1999     KM# 100             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM        0.4; 
815                   Finlandia  1994      KM# 73             5           MARKKAA                                                                                        ALUMINIO-BRONZE    24.5MM       6.13; 
816                      Franca  1998     KM# 929            10          CENTIMOS                                                                                        ALUMINIO-BRONZE      20MM       0.94; 
817                      Franca  2014    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
818                      Franca  1944     KM# 902             1            FRANCO                                                                                               ALUMINIO      23MM           ; 
819                      Franca  1991    KM# 926A             5           FRANCOS                                                                NIQUEL COM REVESTIMENTO DE CUPRO-NIQUEL      29MM        3.3; 
820                      Franca  1960     KM# 925             1            FRANCO                                                                                                 NIQUEL      24MM       1.08; 
821                      Franca  1979   KM# 942.1             2           FRANCOS                                                                                                 NIQUEL    26.5MM       1.75; 
822                      Franca  1976     KM# 931           1/2            FRANCO                                                                                                 NIQUEL    19.5MM       0.67; 
823                      Franca  1951     KM# 915            10           FRANCOS                                                                                        ALUMINIO-BRONZE      20MM       1.35; 
824                      Franca  1951     KM# 915            10           FRANCOS                                                                                        ALUMINIO-BRONZE      20MM       1.35; 
825                      Franca  1994     KM# 931           1/2            FRANCO                                                                                                 NIQUEL    19.5MM           ; 
826                      Franca  2007    KM# 1410            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
827                      Franca  1990     KM# 964            10           FRANCOS                                                   BIMETALICA: CENTRO DE NIQUEL ANEL DE ALUMINIO-BRONZE    22.3MM       1.69; 
828                      Franca  1947    KM# 888B             5           FRANCOS                                                                                               ALUMINIO      31MM       2.56; 
829                      Franca  1854     KM# 777             5          CENTIMOS                                                                                                 BRONZE    25.1MM           ; 
830                      Franca  1975     KM# 925             1            FRANCO                                                                                                 NIQUEL      24MM       1.48; 
831                      Franca  1948    KM# 885A             1            FRANCO                                                                                               ALUMINIO      23MM       1.28; 
832                      Franca  1963     KM# 930            20          CENTIMOS                                                                                        ALUMINIO-BRONZE    23.5MM       0.74; 
833                      Franca  2001    KM# 1287            50  CENTIMOS DE EURO                                                                                           OURO NORDICO   24.25MM       3.37; 
834                      Franca  1949    KM# 888B             5           FRANCOS                                                                                               ALUMINIO      31MM        2.7; 
835                      Franca  2013    KM# 1410            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
836                      Franca  2012    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
837                      Franca  2011    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
838                      Franca  2010    KM# 1410            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
839                      Franca  2010    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
840                      Franca  2009    KM# 1410            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
841                      Franca  2009    KM# 1282             1   CENTIMO DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   16.25MM       0.07; 
842                      Franca  2009    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
843                      Franca  2008    KM# 1410            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
844                      Franca  2008    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
845                      Franca  2008    KM# 1282             1   CENTIMO DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   16.25MM       0.13; 
846                      Franca  2007    KM# 1282             1   CENTIMO DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   16.25MM       0.07; 
847                      Franca  2006    KM# 1285            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
848                      Franca  2006    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
849                      Franca  2005    KM# 1282             1   CENTIMO DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   16.25MM       0.13; 
850                      Franca  2004    KM# 1283             2  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   18.75MM       0.13; 
851                      Franca  2002    KM# 1287            50  CENTIMOS DE EURO                                                                                           OURO NORDICO   24.25MM       3.37; 
852                      Franca  2002    KM# 1286            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
853                      Franca  2001    KM# 1286            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
854                      Franca  2000    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
855                      Franca  2000    KM# 1285            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
856                      Franca  2000    KM# 1286            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
857                      Franca  2000    KM# 1288             1              EURO                               BIMETALICA: NUCLEO DE NIQUEL BANHADO A CUPRO-NIQUEL ANEL DE NIQUEL-LATAO   23.25MM       6.74; 
858                      Franca  1999    KM# 1288             1              EURO                               BIMETALICA: NUCLEO DE NIQUEL BANHADO A CUPRO-NIQUEL ANEL DE NIQUEL-LATAO   23.25MM       6.74; 
859                      Franca  1999    KM# 1285            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
860                      Franca  1999    KM# 1284             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM        0.4; 
861                      Franca  1997     KM# 930            20          CENTIMOS                                                                                        ALUMINIO-BRONZE    23.5MM       1.01; 
862                      Franca  1995     KM# 930            20          CENTIMOS                                                                                        ALUMINIO-BRONZE    23.5MM       1.35; 
863                      Franca  1980   KM# 942.1             2           FRANCOS                                                                                                 NIQUEL    26.5MM       1.89; 
864                      Franca  1977     KM# 925             1            FRANCO                                                                                                 NIQUEL      24MM       1.42; 
865                      Franca  1977     KM# 931           1/2            FRANCO                                                                                                 NIQUEL    19.5MM       1.89; 
866                      Franca  1976     KM# 940            10           FRANCOS                                                                                  COBRE-ALUMINIO-NIQUEL      26MM       1.55; 
867                      Franca  1976     KM# 930            20          CENTIMOS                                                                                        ALUMINIO-BRONZE    23.5MM       0.88; 
868                      Franca  1971     KM# 925             1            FRANCO                                                                                                 NIQUEL      24MM       2.02; 
869                      Franca  1970    KM# 926A             5           FRANCOS                                                                NIQUEL COM REVESTIMENTO DE CUPRO-NIQUEL      29MM       1.95; 
870                      Franca  1964     KM# 925             1            FRANCO                                                                                                 NIQUEL      24MM       1.69; 
871                        Gana  2007      KM# 41            50           PESEWAS                                                                         ACO COM REVESTIMENTO DE NIQUEL    26.4MM       5.46; 
872                      Grecia  2002     KM# 183             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM           ; 
873                      Grecia  2009     KM# 183             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
874                      Grecia  2007     KM# 183             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM        0.4; 
875                      Grecia  1992     KM# 154            20           DRACMAS                                                                                        ALUMINIO-BRONZE    24.5MM       1.08; 
876                      Grecia  1988     KM# 151             2           DRACMAS                                                                                                  COBRE      21MM        3.3; 
877                      Grecia  2009     KM# 211            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
878                      Grecia  1990     KM# 132            10           DRACMAS                                                                                           CUPRO-NIQUEL      26MM       1.82; 
879                      Grecia  1994     KM# 159           100           DRACMAS                                                                                        ALUMINIO-BRONZE    29.5MM       3.44; 
880                      Grecia  1978     KM# 118             5           DRACMAS                                                                                           CUPRO-NIQUEL    22.5MM       1.21; 
881                      Guiana  1991      KM# 32             5          CENTIMOS                                                                                           NIQUEL-LATAO    19.5MM       4.65; 
882                      Guiana  1990      KM# 33            10          CENTIMOS                                                                                           CUPRO-NIQUEL      18MM       4.52; 
883                      Guiana  1978      KM# 31             1           CENTIMO                                                                                           NIQUEL-LATAO      16MM        3.1; 
884                       Haiti  1997    KM# 154A             5          CENTIMOS                                                                         ACO COM REVESTIMENTO DE NIQUEL    19.9MM        3.5; 
885                       Haiti  1991     KM# 153            50          CENTIMOS                                                                                           CUPRO-NIQUEL      29MM       5.53; 
886                       Haiti  1991     KM# 152            20          CENTIMOS                                                                                           CUPRO-NIQUEL   26.15MM          6; 
887                     Holanda  1968     KM# 182            10          CENTIMOS                                                                                                 NIQUEL      15MM       0.94; 
888                     Holanda  2005     KM# 236             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.47; 
889                     Holanda  2001     KM# 236             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
890                     Holanda  1954     KM# 181             5          CENTIMOS                                                                                                 BRONZE      21MM       1.42; 
891                     Holanda  1980     KM# 181             5          CENTIMOS                                                                                                 BRONZE      21MM       0.74; 
892                     Holanda  1960     KM# 180             1           CENTIMO                                                                                                 BRONZE      17MM       0.67; 
893                     Holanda  1948     KM# 177            10          CENTIMOS                                                                                                 NIQUEL      15MM       1.28; 
894                     Holanda  1969     KM# 183            25          CENTIMOS                                                                                                 NIQUEL      19MM           ; 
895                     Holanda  2006     KM# 236             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
896                     Holanda  2003     KM# 238            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
897                     Holanda  1999     KM# 237            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
898                     Holanda  2002     KM# 239            50  CENTIMOS DE EURO                                                                                           OURO NORDICO   24.25MM       3.37; 
899                     Holanda  2008     KM# 236             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.47; 
900                     Holanda  2000     KM# 237            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
901                     Holanda  1983     KM# 202             5          CENTIMOS                                                                                                 BRONZE      21MM       0.88; 
