                           PAIS   ANO           #         VALOR             MOEDA  QUALIDADE                                                                                    MATERIAL  DIAMETRO        VENDA
78               Arabia saudita  1987      KM# 64            50           HALALAS                                                                                           CUPRO-NIQUEL      26MM       3.91; 
79                    Argentina  1942      KM# 35            10          CENTAVOS                                                                                           CUPRO-NIQUEL    19.3MM       8.22; 
80                    Argentina  1990     KM# 105          1000         AUSTRALES                                                                                               ALUMINIO    24.1MM      16.18; 
81                    Argentina  2010     KM# 156             1              PESO                                            BIMETALICA: CENTRO DE ALUMINIO-BRONZE  ANEL DE CUPRO-NIQUEL      23MM       6.94; 
82                    Argentina  1994    KM# 110A            25          CENTAVOS                                                                                           CUPRO-NIQUEL    24.2MM       2.43; 
83                    Argentina  2009   KM# 110.1            25          CENTAVOS                                                                                        ALUMINIO-BRONZE    24.2MM       1.95; 
84                    Argentina  2009    KM# 109B             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO    17.2MM       0.94; 
85                    Argentina  1985      KM# 92             5             PESOS                                                                                                  LATAO    19.5MM       5.05; 
86                    Argentina  1975      KM# 68            50          CENTAVOS                                                                                                  LATAO      21MM       3.44; 
87                    Argentina  1945      KM# 40             5          CENTAVOS                                                                                        ALUMINIO-BRONZE      17MM       3.03; 
88                    Argentina  1952      KM# 48            20          CENTAVOS                                                                                           CUPRO-NIQUEL    21.3MM       2.16; 
89                    Argentina  1943      KM# 42            20          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.2MM       3.03; 
90                    Argentina  1960      KM# 58             1              PESO                                                                         ACO COM REVESTIMENTO DE NIQUEL    25.9MM        9.1; 
91                    Argentina  2010   KM# 110.1            25          CENTAVOS                                                                                        ALUMINIO-BRONZE    24.2MM       2.76; 
92                    Argentina  1957      KM# 57             1              PESO                                                                         ACO COM REVESTIMENTO DE NIQUEL    25.5MM       2.02; 
93                    Argentina  1939      KM# 35            10          CENTAVOS                                                                                           CUPRO-NIQUEL    19.3MM      10.04; 
94                    Argentina  1954      KM# 50             5          CENTAVOS                                                                   ACO COM REVESTIMENTO DE CUPRO-NIQUEL      17MM       2.29; 
95                    Argentina  2009     KM# 112             1              PESO                                             BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL      23MM           ; 
96                    Argentina  1992     KM# 107            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    18.2MM       1.08; 
97                    Argentina  1924      KM# 35            10          CENTAVOS                                                                                           CUPRO-NIQUEL    19.3MM       8.49; 
98                    Argentina  1958      KM# 55            20          CENTAVOS                                                                         ACO COM REVESTIMENTO DE NIQUEL      21MM      16.72; 
99                    Argentina  1952      KM# 46             5          CENTAVOS                                                                                           CUPRO-NIQUEL      17MM        3.1; 
100                   Argentina  1930      KM# 34             5          CENTAVOS                                                                                           CUPRO-NIQUEL    17.3MM       9.23; 
101                   Argentina  2007    KM# 109B             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO    17.2MM       1.21; 
102                   Argentina  1953     KM# 46A             5          CENTAVOS                                                                   ACO COM REVESTIMENTO DE CUPRO-NIQUEL      17MM       2.36; 
103                   Argentina  1954      KM# 51            10          CENTAVOS                                                                         ACO COM REVESTIMENTO DE NIQUEL      19MM        2.7; 
104                   Argentina  1948      KM# 42            20          CENTAVOS                                                                                        ALUMINIO-BRONZE    21.2MM       3.84; 
105                   Argentina  2005     KM# 107            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    18.2MM       0.81; 
106                   Argentina  1891      KM# 33             2          CENTAVOS                                                                                                 BRONZE      30MM      13.75; 
107                   Argentina  1962      KM# 60            10             PESOS                                                                         ACO COM REVESTIMENTO DE NIQUEL    23.6MM       2.76; 
108                   Argentina  1963      KM# 60            10             PESOS                                                                         ACO COM REVESTIMENTO DE NIQUEL    23.6MM       1.75; 
109                   Argentina  1975      KM# 69             1              PESO                                                                                        ALUMINIO-BRONZE    22.3MM       1.48; 
110                   Argentina  1977      KM# 74            10             PESOS                                                                                        ALUMINIO-BRONZE    25.3MM       4.45; 
111                   Argentina  1978      KM# 82           100             PESOS                                                                                        ALUMINIO-BRONZE    27.2MM       4.79; 
112                   Argentina  1977      KM# 72            10             PESOS                                                                                        ALUMINIO-BRONZE    25.3MM        3.1; 
113                   Argentina  1979      KM# 85           100             PESOS                                                                                        ALUMINIO-BRONZE    27.2MM       5.05; 
114                   Argentina  1987      KM# 99            50          CENTAVOS                                                                                                  LATAO    24.2MM       2.97; 
115                   Argentina  1992   KM# 110.1            25          CENTAVOS                                                                                        ALUMINIO-BRONZE    24.2MM       1.89; 
116                   Argentina  1994     KM# 111            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    25.2MM       1.95; 
117                   Argentina  1971      KM# 66            10          CENTAVOS                                                                                                  LATAO    16.5MM       1.82; 
118                   Argentina  1994     KM# 107            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    18.2MM       0.94; 
119                   Argentina  2004     KM# 107            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    18.2MM       1.15; 
120                   Argentina  2006     KM# 107            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    18.2MM       0.94; 
121                   Argentina  2007    KM# 107A            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO    18.2MM       1.15; 
122                   Argentina  2008    KM# 107A            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO    18.2MM       1.55; 
123                   Argentina  2009     KM# 111            50          CENTAVOS                                                                                        ALUMINIO-BRONZE    25.2MM       2.97; 
124                   Argentina  2011    KM# 107A            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO    18.2MM       2.56; 
125                   Argentina  2010     KM# 165             2             PESOS                                             BIMETALICA: CENTRO DE CUPRO-NIQUEL ANEL DE ALUMINIO-BRONZE    24.5MM       6.34; 
126                   Argentina  2010     KM# 112             1              PESO                                             BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL      23MM       3.37; 
127                   Argentina  2010     KM# 159             1              PESO                                             BIMETALICA: CENTRO DE ALUMINIO-BRONZE ANEL DE CUPRO-NIQUEL      23MM       6.74; 
128                     Armenia  1994      KM# 54             1              DRAM                                                                                               ALUMINIO      22MM       2.56; 
129                     Armenia  2003      KM# 95           100            DRAMES                                                                         ACO COM REVESTIMENTO DE NIQUEL    22.5MM       3.17; 
130                       Aruba  1990       KM# 2            10          CENTIMOS                                                                         ACO COM REVESTIMENTO DE NIQUEL      18MM       2.56; 
131                   Australia  2004     KM# 406             2           DOLARES                                                                                        ALUMINIO-BRONZE    20.5MM      10.31; 
132                   Australia  2006     KM# 406             2           DOLARES                                                                                        ALUMINIO-BRONZE    20.5MM      14.63; 
133                   Australia  1983      KM# 65            10          CENTIMOS                                                                                           CUPRO-NIQUEL    23.6MM       3.24; 
134                   Australia  2006     KM# 401             5          CENTIMOS                                                                                           CUPRO-NIQUEL    19.4MM       2.43; 
135                   Australia  2009     KM# 406             2           DOLARES                                                                                        ALUMINIO-BRONZE    20.5MM       9.91; 
136                   Australia  1989      KM# 79             2          CENTIMOS                                                                                                 BRONZE    21.6MM       1.55; 
137                   Australia  1978      KM# 63             2          CENTIMOS                                                                                                 BRONZE    21.6MM       1.75; 
138                     Austria  2012    KM# 3084             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM        0.4; 
139                     Austria  2005    KM# 3084             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
140                     Austria  1976    KM# 2918            10         SCHILLING                                                                                           CUPRO-NIQUEL    25.8MM       5.19; 
141                     Austria  2002    KM# 3085            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
142                     Austria  1981    KM# 2878            10          GROSCHEN                                                                                               ALUMINIO      20MM       0.81; 
143                     Austria  2007    KM# 3084             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
144                     Austria  1992    KM# 2886             1         SCHILLING                                                                                        ALUMINIO-BRONZE    22.5MM       1.75; 
145                     Bahamas  2006   KM# 218.1             1           CENTIMO                                                                        ZINCO COM REVESTIMENTO DE COBRE      19MM       2.16; 
146                     Bahamas  2015   KM# 218.3             1           CENTIMO                                                                          ACO COM REVESTIMENTO DE COBRE      17MM       1.62; 
147                     Bahamas  1979    KM# 63.1            25          CENTIMOS                                                                                                 NIQUEL   24.26MM           ; 
148                     Bahrain  1992      KM# 16             5              FILS                                                                                                  LATAO      19MM       3.03; 
149                  Bangladesh  1974       KM# 5             1            POISHA                                                                                               ALUMINIO   15.91MM        3.5; 
150                     Belgica  1958     KM# 143             1            FRANCO                                                                                           CUPRO-NIQUEL      21MM       0.61; 
151                     Belgica  2004     KM# 226             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
152                     Belgica  1913      KM# 69            25          CENTIMOS                                                                                           CUPRO-NIQUEL      26MM       7.48; 
153                     Belgica  1977     KM# 142             1            FRANCO                                                                                           CUPRO-NIQUEL      21MM       0.88; 
154                     Belgica  1950     KM# 134             5           FRANCOS                                                                                           CUPRO-NIQUEL      24MM       1.89; 
155                     Belgica  1951     KM# 142             1            FRANCO                                                                                           CUPRO-NIQUEL      21MM       1.01; 
156                     Belgica  1966     KM# 154            25          CENTIMOS                                                                                           CUPRO-NIQUEL      16MM           ; 
157                     Belgica  1986     KM# 163             5           FRANCOS                                                                                        ALUMINIO-BRONZE      24MM       0.74; 
158                     Belgica  2007     KM# 225             2  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   18.75MM       0.13; 
159                     Belgica  2000     KM# 228            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
160                     Belgica  1991     KM# 170             1            FRANCO                                                                                         ACO INOXIDAVEL      18MM       1.21; 
161                     Belgica  1999     KM# 226             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
162                     Belgica  2010     KM# 299            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
163                     Belgica  1999     KM# 227            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
164                     Belgica  1981     KM# 160            20           FRANCOS                                                                                          NIQUEL-BRONZE    25.6MM       1.35; 
165                    Bermudas  1983      KM# 17            10          CENTIMOS                                                                                           CUPRO-NIQUEL    17.8MM       2.56; 
166                     Bolivia  1968     KM# 192             1              PESO                                                                         ACO COM REVESTIMENTO DE NIQUEL      27MM       5.93; 
167                     Bolivia  1973     KM# 189            20          CENTAVOS                                                                         ACO COM REVESTIMENTO DE NIQUEL      22MM      15.64; 
168                     Bolivia  1978     KM# 197             5             PESOS                                                                         ACO COM REVESTIMENTO DE NIQUEL      30MM       27.9; 
169                     Bolivia  1987     KM# 204            50          CENTAVOS                                                                                         ACO INOXIDAVEL      24MM        3.1; 
170                     Bolivia  1991     KM# 205             1         BOLIVIANO                                                                                         ACO INOXIDAVEL      27MM       3.57; 
171                      Brasil  2020    KM# 652A             1              REAL                           BIMETALICA: CENTRO DE ACO INOXIDAVEL  ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM        2.9; 
172                      Brasil  2020    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       1.28; 
173                      Brasil  2020     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM       1.48; 
174                      Brasil  2020     KM# 650            25          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      25MM       2.09; 
175                      Brasil  2020   KM# 649.2            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      20MM       1.55; 
176                      Brasil  1943    KM# 555A            10          CENTAVOS                                                                                        ALUMINIO-BRONZE   17.22MM       6.81; 
177                      Brasil  1956     KM# 564            10          CENTAVOS                                                                                               ALUMINIO    17.3MM       6.27; 
178                      Brasil  1958     KM# 569            50          CENTAVOS                                                                                               ALUMINIO   21.07MM      14.49; 
179                      Brasil  2019    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM       2.16; 
180                      Brasil  2019     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM       2.29; 
181                      Brasil  1931     KM# 519           200              REIS                                                                                           CUPRO-NIQUEL      25MM      14.83; 
182                      Brasil  1931     KM# 518           100              REIS                                                                                           CUPRO-NIQUEL    21.3MM      10.24; 
183                      Brasil  2019     KM# 648             5          CENTAVOS                                                                          ACO COM REVESTIMENTO DE COBRE    21.9MM           ; 
184                      Brasil  2019    KM# 651A            50          CENTAVOS                                                                                         ACO INOXIDAVEL      23MM           ; 
185                      Brasil  2019     UC# 100             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       7.68; 
186                      Brasil  2019     KM# 650            25          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      25MM       2.22; 
187                      Brasil  2019   KM# 649.2            10          CENTAVOS                                                                          ACO COM REVESTIMENTO DE LATAO      20MM        0.4; 
188                      Brasil  2019    KM# 652A             1              REAL                            BIMETALICA: CENTRO DE ACO INOXIDAVEL ANEL DE ACO COM REVESTIMENTO DE BRONZE      27MM       1.08; 
189                      Brasil  1947     KM# 561            10          CENTAVOS                                                                                        ALUMINIO-BRONZE    17.3MM       6.74; 
190                      Brasil  1944    KM# 556A            20          CENTAVOS                                                                                        ALUMINIO-BRONZE      20MM           ; 
